,yhat
1616,48.8459328129449
1617,48.608807458628974
1618,48.56672217155026
1619,48.90979739922354
1620,49.02362883728295
1621,49.28433196738446
1622,49.59037142172355
1623,50.05908372949952
1624,49.75134656306582
1625,49.62486064456017
1626,49.87103865279176
1627,49.87696431154719
1628,50.02040976128609
1629,50.20163535831392
1630,50.53988103144012
1631,50.09800289772185
1632,49.83572187986416
1633,49.94647923438079
1634,49.81936271929717
1635,49.834092021116625
1636,49.89278806632665
1637,50.11643578648131
1638,49.5694944312043
1639,49.21312251514988
1640,49.24201260044736
1641,49.04629988395892
1642,49.00653339794859
1643,49.02543458738828
1644,49.22435292149445
1645,48.66787267473909
1646,48.31703795880487
1647,48.36619115912742
1648,48.204888656465286
1649,48.21288251432698
1650,48.291892730944234
1651,48.56207951386553
1652,48.08666947982846
1653,47.825202597138265
1654,47.97039473008183
1655,47.910079343265956
1656,48.02221669754756
1657,48.20669476235736
1658,48.581830906281944
1659,48.20902785273391
1660,48.04605028591174
1661,48.28391652237406
1662,48.308868354412674
1663,48.497406943316555
1664,48.74811853801348
1665,49.178198642983226
1666,48.84812770318009
1667,48.71496429919511
1668,48.96924991152182
1669,48.99698804796905
1670,49.17468535298584
1671,49.401178276306254
1672,49.79415379562334
1673,49.41481720769711
1674,49.22117300934697
1675,49.40491304134998
1676,49.353374892042616
1677,49.44455847158788
1678,49.578924714706055
1679,49.87588537173037
1680,49.39843744666059
1681,49.10640891903711
1682,49.1933105990456
1683,49.04825783767716
1684,49.05095076252904
1685,49.103437775359254
1686,49.32657205118049
1687,48.78461536107593
1688,48.43845658403103
1689,48.48244043208899
1690,48.30627071384461
1691,48.28997732113058
1692,48.33567208471335
1693,48.56400353018685
1694,48.03876501796188
1695,47.72012365627587
1696,47.801465391633634
1697,47.67132033648983
1698,47.70835711020369
1699,47.81317079213506
1700,48.10477384226362
1701,47.64524368135125
1702,47.39299342794119
1703,47.539660224568216
1704,47.4720741826616
1705,47.56729565777216
1706,47.724444381555685
1707,48.06122875219722
1708,47.63862796771127
1709,47.41419256465219
1710,47.57895695846986
1711,47.51942630125
1712,47.61262479853864
1713,47.757928603611056
1714,48.07359135918036
1715,47.62141502572863
1716,47.360031705879436
1717,47.481790400633635
1718,47.374711541241844
1719,47.417497145467024
1720,47.51132058842633
1721,47.77630507563328
1722,47.27614459768583
1723,46.97133431199683
1724,47.05600558896817
1725,46.91982990128217
1726,46.94298073914242
1727,47.02787884034419
1728,47.29563105155055
1729,46.810617725720476
1730,46.533696591962965
1731,46.65901916316802
1732,46.57592450026255
1733,46.66389994826521
1734,46.82433434220182
1735,47.176973975790474
1736,46.78453597798844
1737,46.60594653994638
1738,46.83319933867168
1739,46.853298046680855
1740,47.04327142306991
1741,47.30198520002
1742,47.746659639771536
1743,47.43754588998564
1744,47.33122700125004
1745,47.61753735250452
1746,47.68156279248323
1747,47.898708471937475
1748,48.16655716077599
1749,48.601425644226445
1750,48.26307121910398
1751,48.108013252279854
1752,48.32646287679289
1753,48.304322715224835
1754,48.41824345267049
1755,48.567460174551854
1756,48.87031645850012
1757,48.38892890387441
1758,48.08245797715845
1759,48.14397939812876
1760,47.962419312397266
1761,47.917541602860126
1762,47.91171192247195
1763,48.06634820053147
1764,47.44651212073866
1765,47.014109269798666
1766,46.964693961431166
1767,46.68934367484823
1768,46.5695930232849
1769,46.50915322646223
1770,46.630328022171085
1771,45.99858145781377
1772,45.57572593692138
1773,45.55672691613222
1774,45.33158928464202
1775,45.280315132500284
1776,45.30465837357704
1777,45.524586362435564
1778,45.002902880620454
1779,44.698499558126
1780,44.80323060433653
1781,44.70387418474188
1782,44.777168321898245
1783,44.92164487200511
1784,45.25416976361052
1785,44.83464193223522
1786,44.619316135270225
1787,44.797742748094244
1788,44.754786257718564
1789,44.86570890705856
1790,45.02804184701387
1791,45.3581510503462
1792,44.91594977431524
1793,44.65822241182362
1794,44.77555279851423
1795,44.65431897069202
1796,44.671741410553814
1797,44.7277080092725
1798,44.941284142845525
1799,44.37536102691392
1800,43.989908772565705
1801,43.978828955430394
1802,43.731870555730545
1803,43.629598239162604
1804,43.5751381638195
1805,43.6906116345612
1806,43.0417116206239
1807,42.59089028469277
1808,42.53415389542968
1809,42.26293033567289
1810,42.158999292370034
1811,42.12621116453604
1812,42.28690557668318
1813,41.70648478222686
1814,41.346610071858585
1815,41.402017226944324
1816,41.26241561056163
1817,41.30746009325358
1818,41.438520716692345
1819,41.77515963679129
1820,41.379769108701154
